LETO;OSNOVNOSOLSKA, MOSKI, VZHODNA SLOVENIJA;OSNOVNOSOLSKA, MOSKI, ZAHODNA SLOVENIJA;OSNOVNOSOLSKA, ZENSKE, VZHODNA SLOVENIJA;OSNOVNOSOLSKA, ZENSKE, ZAHODNA SLOVENIJA;NIZJA ALI SREDNJA POKLICNA, MOSKI, VZHODNA SLOVENIJA;NIZJA ALI SREDNJA POKLICNA, MOSKI, ZAHODNA SLOVENIJA;NIZJA ALI SREDNJA POKLICNA, ZENSKE, VZHODNA SLOVENIJA;NIZJA ALI SREDNJA POKLICNA, ZENSKE, ZAHODNA SLOVENIJA;SREDNJA STROKOVNA, SPLOSNA, MOSKI, VZHODNA SLOVENIJA;SREDNJA STROKOVNA, SPLOSNA, MOSKI, ZAHODNA SLOVENIJA;SREDNJA STROKOVNA, SPLOSNA, ZENSKE, VZHODNA SLOVENIJA;SREDNJA STROKOVNA, SPLOSNA, ZENSKE, ZAHODNA SLOVENIJA;VISJESOLSKA, VISOKOSOLSKA, MOSKI, VZHODNA SLOVENIJA;VISJESOLSKA, VISOKOSOLSKA, MOSKI, ZAHODNA SLOVENIJA;VISJESOLSKA, VISOKOSOLSKA, ZENSKE, VZHODNA SLOVENIJA;VISJESOLSKA, VISOKOSOLSKA, ZENSKE, ZAHODNA SLOVENIJA
2008;5.6M;5.9M;6.2M;5.3M;3.9;3.3M;6.8M;3.6M;4.4;3.5M;6.4;3.3M;4.1M;2.4M;4.8M;2.7M
2009;7.0M;11.9M;7.1M;6.9M;6.9;5.5;8.8;5.6M;6.1;5.4;8.7;3.9M;3.7M;2.6M;4.2M;2.6M
2010;11.9;12.6M;9.7M;9.0M;7.2;7.8;9.4;7.9M;6.7;7.4;8.5;6.5;4.9M;3.4M;5.6M;3.5M
2011;14.0;13.5M;8.7M;15.5M;9.5;8.1;13.8;8.8M;8.3;6.3;10.3;6.7;4.4M;5.1M;6.5;3.5M
2012;14.4;13.9M;10.2M;19.3M;8.7;8.2;13.8;8.3M;9.8;7.0;10.0;8.5;5.0M;4.3M;9.7;4.9
2013;16.7;17.4;16.4;18.3M;12.1;9.9;13.0;12.2;9.0;7.5;13.8;10.2;6.0M;4.3M;9.1;5.3
2014;17.3;13.6M;14.8;12.4M;10.8;10.5;15.3;12.5;9.8;6.8;12.8;8.5;4.9M;4.3M;10.1;5.6
2015;14.3;14.5M;15.3;11.6M;8.8;7.6;16.3;13.2M;10.2;6.5;11.5;9.9;4.5M;4.6M;8.9;4.8
2016;15.2;11.8M;17.5;11.8M;6.5;7.1;12.4;9.6M;7.3;8.3;9.1;7.5;6.5;4.9M;8.4;4.8
2017;11.5;12.1M;10.5M;8.7M;5.5;6.4M;10.1;8.5M;5.5;5.9;8.5;7.4;3.8M;4.3M;6.4;5.4
2018;8.8M;6.5M;11.0M;6.4M;5.0;4.8M;5.6M;7.1M;5.4;4.5;6.4;6.5;2.7M;2.7M;4.5;4.3
2019;10.4 M;10.8 M;10.1 M;5.3 M;5.3;3.8 M;7.9 M;5.1 M;3.2 M;3.6 M;5.4;4.5 M;1.7 M;2.6 M;3.8 M;3.4 M
2020;10.5 M;13.9 M;10.6 M;8.4 M;5.4;4.7 M;10.5;5.5 M;3.2 M;4.3 M;7.5;6.4;2.9 M;2.9 M;4.5;2.3 M
2021;7.4 M;8.6 M;12.3 M;8.3 M;4.9;4.9 M;9.1 M;5.3 M;3.9;4.7;6.9;6.2;2.9 M;3.3 M;3.8;3.3
